male,height33,gwage33
1,63.385826,7.5555553
1,41.732285,4.7435899
1,72.047241,8.25
1,75.590553,8
1,74.409447,4.5
1,64.173225,4.1964288
1,68.897636,3.8543999
1,70.472443,15.84
1,69.291336,10.810811
1,73.228348,9.9574471
1,69.685036,4.875
1,72.047241,10.285714
1,66.929131,5.6410255
1,71.259842,12.410256
1,68.110237,10
1,66.929131,5.6052632
1,74.015747,6.9230771
1,68.110237,77.837837
1,72.047241,5.4545455
1,72.440948,9.7714281
1,69.685036,4.4181819
1,70.472443,4.7222223
1,69.291336,8.1081085
1,67.322838,12.324325
1,67.716537,11.666667
1,69.685036,3.5555556
1,75.196854,6
1,72.047241,8.5
1,70.078743,10.5
1,68.110237,6.5
1,69.685036,7.5789475
1,67.716537,78.947365
1,67.322838,7.3947368
1,72.834648,6.3829789
1,70.078743,6.48
1,70.078743,80
1,73.228348,5.9459457
1,69.685036,2.5306122
1,69.685036,12.6
1,69.685036,6.6666665
1,68.110237,6.465517
1,68.897636,4.3653846
1,68.110237,6.810811
1,29.133858,7.3684211
1,72.047241,7.4418607
1,62.992126,7.8947368
1,69.685036,5.7119999
1,63.385826,8.2461538
1,70.078743,6.5
1,69.291336,5.0999999
1,67.322838,4.6666665
1,66.929131,4.5833335
1,66.929131,4.8717947
1,66.535431,8.6046515
1,66.535431,9.6000004
1,68.897636,8.1702127
1,72.834648,3.909091
1,72.440948,8.333333
1,68.110237,6.0714288
1,73.622047,12.631579
1,70.078743,5
1,66.929131,3.95
1,67.716537,2.4193549
1,69.685036,12.5
1,67.322838,5.8378377
1,68.110237,11
1,66.929131,15.384615
1,69.685036,4.7619047
1,67.716537,7.6500001
1,72.440948,10.8
1,67.322838,5.0999999
1,69.685036,8
1,68.110237,5.5263157
1,66.141731,4.8461537
1,72.047241,4.1025643
1,72.440948,5.2727275
1,70.866142,7.8571429
1,68.897636,9.7894735
1,68.897636,9.7297297
1,66.141731,11.842105
1,74.015747,12.116571
1,69.685036,16.333334
1,71.653542,5.75
1,66.929131,3.4166667
1,66.141731,5.4239998
1,68.110237,3
1,66.535431,6.25
1,70.472443,5.6172972
1,72.440948,10.858286
1,74.409447,3.7777777
1,66.929131,8.6611109
1,69.685036,8.1904764
1,68.503937,7.0394592
1,72.047241,4.7272725
1,66.141731,4.3589745
1,70.866142,4.1025643
1,68.503937,6.521739
1,69.291336,7.4666667
1,67.716537,6.6666665
1,70.866142,4.8000002
1,70.472443,7.1052632
1,68.503937,3.2222223
1,70.078743,6.1538463
1,67.716537,11.428572
1,67.716537,3.625
1,68.897636,7.5
1,75.196854,11.4
1,66.535431,5.8000002
1,70.472443,7.1351352
1,68.110237,7.8571429
1,73.228348,10.736842
1,64.173225,3.5777779
